tick,time_s,euler_roll_deg,euler_pitch_deg,gyro_roll_rad_s,gyro_pitch_rad_s,roll_offset_deg,pitch_offset_deg,roll_rad,pitch_rad,rolldot_rad_s,pitchdot_rad_s,vel_roll_raw_rad_s,vel_pitch_raw_rad_s,roll_f_rad,pitch_f_rad,roll_f_deg,pitch_f_deg,rolldot_f_rad_s,pitchdot_f_rad_s,vel_roll_f_rad_s,vel_pitch_f_rad_s,tau_fb_roll_nm,tau_fb_pitch_nm,denom_roll,denom_pitch,tau_ff_roll_g_nm,tau_ff_pitch_g_nm,tau_ff_roll_f_nm,tau_ff_pitch_f_nm,tau_ff_roll_nm,tau_ff_pitch_nm,tau_roll_total_nm,tau_pitch_total_nm,tau_motor1_raw_nm,tau_motor1_sat_nm,tau_motor1_ramped_nm,tau_motor1_final_nm,tau_motor2_raw_nm,tau_motor2_sat_nm,tau_motor2_ramped_nm,tau_motor2_final_nm,ramp_scale
50,20.693862643999978,-0.9031441745631501,0.13390872682394286,0.012097743339836597,0.018453046679496765,0.38163248457196935,0.5195094021601059,-0.022423582854680716,-0.01140429774299264,0.012097743339836597,-0.018453046679496765,0.028955411165952682,-0.0358295664191246,-0.022423582854680716,-0.01140429774299264,-1.2847766591351193,-0.6534181289840487,0.012097743339836597,-0.018453046679496765,0.028955411165952682,-0.0358295664191246,0.3130958030613643,0.20489174952228978,165.73025945648155,5.609427611704565,0.002360045199644637,0.031226926387422915,-0.2610084828620527,0.10595101431166808,-0.2586484376624081,0.137177940699091,-0.05444736539895623,0.3420696902213808,-0.05444736539895623,-0.05444736539895623,-0.0030635787653430753,-0.0030635787653430753,0.32845784887164176,0.32845784887164176,0.018481270558092365,0.018481270558092365,0.05626679533334785
100,20.89571336000006,-0.7845959428729709,0.3449103057379221,-0.0007883554208092391,0.012140627950429916,0.38163248457196935,0.5195094021601059,-0.020354525889270007,-0.01508697002194822,-0.0007883554208092391,-0.012140627950429916,-0.004506950732320547,-0.0034706713631749153,-0.020354525889270007,-0.01508697002194822,-1.1662284274449402,-0.8644197078980279,-0.0007883554208092391,-0.012140627950429916,-0.004506950732320547,-0.0034706713631749153,0.30634307275193917,0.2618112855410551,165.7375508983375,5.609202758999825,0.002142217713327463,0.041311700005944044,0.04494783885308784,0.07144516906410933,0.0470900565664153,0.11275686907005338,-0.35343312931835447,0.3745681546111085,-0.35343312931835447,-0.35343312931835447,-0.04358693650665912,-0.04358693650665912,0.28620987228151984,0.28620987228151984,0.035296667165224255,0.035296667165224255,0.12332442233336376
150,21.098923895999974,-0.8973340314569964,0.5926580222420923,-0.028751956298947334,0.01610284484922886,0.38163248457196935,0.5195094021601059,-0.022322176727466284,-0.019410983389243484,-0.028751956298947334,-0.01610284484922886,0.19686764478683472,0.018043987452983856,-0.022322176727466284,-0.019410983389243484,-1.2789665160289658,-1.1121674244021982,-0.028751956298947334,-0.01610284484922886,0.19686764478683472,0.018043987452983856,0.39504198670437407,0.3238495551019659,165.73063325057245,5.608858960695257,0.0023493688495272555,0.053153809975995406,-0.4996199037166158,0.09340967784378192,-0.49727053486708855,0.14656348781977732,0.10222854816271448,0.47041304292174324,0.10222854816271448,0.10222854816271448,0.019549029369341,0.019549029369341,0.4959701799624219,0.4959701799624219,0.09484371820453011,0.09484371820453011,0.19122867066668428
200,21.282574124999996,-1.2416794058453644,0.8510074196377387,-0.02593272738158703,0.010894734412431717,0.38163248457196935,0.5195094021601059,-0.02833213727455586,-0.023920030994340778,-0.02593272738158703,-0.010894734412431717,-0.18395811319351196,-0.03077024593949318,-0.02833213727455586,-0.023920030994340778,-1.6233118904173338,-1.3705168217978445,-0.02593272738158703,-0.010894734412431717,-0.18395811319351196,-0.03077024593949318,0.48227045424174203,0.37953086072815245,165.7055552126281,5.60840866833584,0.002982206321812024,0.06550422677670764,0.49936314056253306,0.0643531604294846,0.5023453468843451,0.12985738720619222,-0.984615801126087,0.5093882479343447,-0.984615801126087,-0.984615801126087,-0.248612534624113,-0.248612534624113,0.2632342976528229,0.2632342976528229,0.06646587010346588,0.06646587010346588,0.25249699866666714
250,21.48527809799998,-1.4300046900138352,1.019013638077362,0.0020153247751295567,-0.012688299641013145,0.38163248457196935,0.5195094021601059,-0.03161903354804963,-0.026852292669937015,0.0020153247751295567,0.012688299641013145,-1.2984199523925781,-0.10337445139884949,-0.03161903354804963,-0.026852292669937015,-1.8116371745858046,-1.5385230402374679,0.0020153247751295567,0.012688299641013145,-1.2984199523925781,-0.10337445139884949,0.4731570667645277,0.3833059469919137,165.6893232507601,5.608065562420253,0.0033283977562839698,0.07353680410076971,0.5,-0.07453664179070127,0.503328397756284,-0.0009998376899315597,-0.9764854645208116,0.38230610930198217,-0.9764854645208116,-0.9764854645208116,-0.31247163962938174,-0.31247163962938174,0.13818474317177926,0.13818474317177926,0.04421859294325483,0.04421859294325483,0.31999620166667836
300,21.709434154000064,-1.3395055372848126,0.02996294265630837,0.01767447218298912,-0.09654800593852997,0.38163248457196935,0.5195094021601059,-0.03003952536266297,-0.009590101565700025,0.01767447218298912,0.09654800593852997,-1.1722272634506226,-1.199578046798706,-0.03003952536266297,-0.009590101565700025,-1.7211380218567818,-0.5494723448164142,0.01767447218298912,0.09654800593852997,-1.1722272634506226,-1.199578046798706,0.4151158948617105,-0.054030552241766866,165.69734555243699,5.609515397633851,0.0031620280507566657,0.026259101338130624,0.5,-0.2876432822395162,0.5031620280507567,-0.26138418090138554,-0.9182779229124672,-0.3154147331431524,-0.9182779229124672,-0.9182779229124672,-0.3624846186754382,-0.3624846186754382,-0.5449842138712692,-0.5449842138712692,-0.21512920001681377,-0.21512920001681377,0.39474391100001566
350,21.834551602000033,-1.2075605832287408,-0.793183411650381,0.014684246852993965,-0.1254177987575531,0.38163248457196935,0.5195094021601059,-0.027736651482991873,0.00477651254273951,0.014684246852993965,0.1254177987575531,-1.4509553909301758,-1.4862096309661865,-0.027736651482991873,0.00477651254273951,-1.5891930678007102,0.27367400949027515,0.014684246852993965,0.1254177987575531,-1.4509553909301758,-1.4862096309661865,0.3940398301855696,-0.3219951567315857,165.7083055645261,5.609674788902098,0.0029194940013309947,-0.013078569380130113,0.5,-0.29605040404529426,0.502919494001331,-0.3091289734254244,-0.8969593241869005,-0.6311241301570101,-0.8969593241869005,-0.8969593241869005,-0.39147454032060586,-0.39147454032060586,-0.8553639612037351,-0.8553639612037351,-0.3733203998103163,-0.3733203998103163,0.4364462576666786
400,22.00724002100003,-0.9664114697930377,-1.7626571007082588,0.0267631858587265,-0.030387938022613525,0.38163248457196935,0.5195094021601059,-0.023527805465273558,0.0216970204282552,0.0267631858587265,0.030387938022613525,-1.6172914505004883,-0.11791964620351791,-0.023527805465273558,0.0216970204282552,-1.3480439543650071,1.2431476985481529,0.0267631858587265,0.030387938022613525,-1.6172914505004883,-0.11791964620351791,0.3132898476409485,-0.38543212344863775,165.72607952057982,5.6086423777663965,0.0024763043263730795,-0.05941511300690651,0.5,-0.16276425271205544,0.502476304326373,-0.22217936571896196,-0.8157661519673216,-0.6076114891675997,-0.8157661519673216,-0.8157661519673216,-0.4030569332727376,-0.4030569332727376,-0.81155302715943,-0.81155302715943,-0.400975296077484,-0.400975296077484,0.49408391400000556
450,22.157950650999965,-0.6750758338833734,-2.1678631958611425,-5.9327547205612063e-05,-0.06979437917470932,0.38163248457196935,0.5195094021601059,-0.018443039390258494,0.02876920093782246,-5.9327547205612063e-05,0.06979437917470932,-0.3553502857685089,0.10810744017362595,-0.018443039390258494,0.02876920093782246,-1.056708318455343,1.6483537937010369,-5.9327547205612063e-05,0.06979437917470932,-0.3553502857685089,0.10810744017362595,0.2807701728033982,-0.5578334899634966,165.74366033242669,5.607819846570165,0.0019409952306656498,-0.07878843791650939,0.499999328674756,-0.26533784880704536,0.5019403239054216,-0.3441262867235547,-0.7827104967088199,-0.9019597766870513,-0.7827104967088199,-0.7827104967088199,-0.42604342232280956,-0.42604342232280956,-1.0976374008642562,-1.0976374008642562,-0.5974638090329468,-0.5974638090329468,0.5443180130000277
500,22.31268653699999,-0.7593701332774098,-2.554785728379549,-0.01755031943321228,-0.0078385965898633,0.38163248457196935,0.5195094021601059,-0.019914252455346285,0.03552227308042348,-0.01755031943321228,0.0078385965898633,2.955505132675171,1.4864964485168457,-0.019914252455346285,0.03552227308042348,-1.141002617849379,2.0352763262194435,-0.01755031943321228,0.0078385965898633,2.955505132675171,1.4864964485168457,0.3485015273495159,-0.5647961442762102,165.73901144073798,5.606819329750528,0.0020958687375215055,-0.09729297928128515,-0.5,-0.0466500249021319,-0.4979041312624785,-0.14394300418341704,0.14940260391296262,-0.7087391484596273,0.14940260391296262,0.14940260391296262,0.08902846107333934,0.08902846107333934,-0.6713884974813866,-0.6713884974813866,-0.4000779313587543,-0.4000779313587543,0.5958963146666747
