tick,time_s,euler_roll_deg,gyro_roll_rad_s,roll_offset_deg,roll_rad,rolldot_rad_s,vel_roll_raw_rad_s,roll_f_rad,rolldot_f_rad_s,vel_roll_f_rad_s,tau_fb_roll_nm,denom_roll,tau_ff_roll_g_nm,tau_ff_roll_f_nm,tau_ff_roll_nm,tau_roll_total_nm,tau_motor1_raw_nm,tau_motor1_sat_nm,tau_motor1_ramped_nm,tau_motor1_final_nm,tau_motor2_raw_nm,tau_motor2_sat_nm,tau_motor2_ramped_nm,tau_motor2_final_nm,ramp_scale
50,873.896435139,-1.2429865332977756,-0.0018701971275731921,1.1873028280526479,-0.04241655113175512,-0.0018701971275731921,-0.13428141176700592,-0.04241655113175512,-0.0018701971275731921,-0.13428141176700592,1.2759580476888852,165.62347932589748,0.0044661852702530145,0.495373219402051,0.499839404672304,-1.7757974523611892,-1.7757974523611892,-1.7757974523611892,-0.05902196623651548,-0.05902196623651548,-1.582231603170255,-1.582231603170255,-0.052588441399378794,-0.052588441399378794,0.03323687966667421
100,873.998271511,-1.2592615934294467,-0.0019461758201941848,1.1873028280526479,-0.04270060451701284,-0.0019461758201941848,-0.2739792764186859,-0.04270060451701284,-0.0019461758201941848,-0.2739792764186859,1.2840357181110194,165.62148801742126,0.0044961301706122605,0.49998260257679406,0.5044787327474063,-1.7885144508584256,-1.7885144508584256,-1.7885144508584256,-0.12013214767105124,-0.12013214767105124,-1.5419691138180593,-1.5419691138180593,-0.1035720238080728,-0.1035720238080728,0.06716867600001326
150,874.097485887,-1.3006017402677719,-0.005080203991383314,1.1873028280526479,-0.04342212619259954,-0.005080203991383314,-0.0049020289443433285,-0.04342212619259954,-0.005080203991383314,-0.0049020289443433285,1.3115821500232419,165.61637019137387,0.0045721962161586124,0.04886383069186508,0.053436026908023695,-1.3650181769312655,-1.3650181769312655,-1.3650181769312655,-0.13675299650789713,-0.13675299650789713,-1.6480750663183907,-1.6480750663183907,-0.16511077112223688,-0.16511077112223688,0.1001840113333401
200,874.20780993,-1.3304833909997547,-0.0034050424583256245,1.1873028280526479,-0.04394365938380361,-0.0034050424583256245,0.018099345266819,-0.04394365938380361,-0.0034050424583256245,0.018099345266819,1.318139328462281,165.61261754373947,0.004627181518534227,-0.173481476321007,-0.16885429480247277,-1.1492850336598084,-1.1492850336598084,-1.1492850336598084,-0.157394650102773,-0.157394650102773,-1.5082638652069673,-1.5082638652069673,-0.20655682130563227,-0.20655682130563227,0.13695005633333798
250,874.412258932,-1.3749783381826852,-0.0001178091624751687,1.1873028280526479,-0.04472024271264673,-0.0001178091624751687,-0.017621060833334923,-0.04472024271264673,-0.0001178091624751687,-0.017621060833334923,1.3423294793781841,165.60694673225575,0.004709061425609143,0.16926052618826135,0.1739695876138705,-1.5162990669920546,-1.5162990669920546,-1.5162990669920546,-0.3108248649753919,-0.3108248649753919,-1.65220739243653,-1.65220739243653,-0.33868459781101995,-0.33868459781101995,0.20498915533331305
300,874.607726298,-1.3791433661942178,0.011940119788050652,1.1873028280526479,-0.04479293616488576,0.011940119788050652,-0.5511835813522339,-0.04479293616488576,0.011940119788050652,-0.5511835813522339,1.3293526649644174,165.60641082473336,0.004716726225873379,0.4999999997339517,0.5047167259598251,-1.8340693909242425,-1.8340693909242425,-1.8340693909242425,-0.49564068941661504,-0.49564068941661504,-2.040708811705847,-2.040708811705847,-0.5514831267222354,-0.5514831267222354,0.2702409690000043
350,874.843570195,-0.621744649626856,0.11114905774593353,1.1873028280526479,-0.031573834810405974,0.11114905774593353,-2.8829410076141357,-0.031573834810405974,0.11114905774593353,-2.8829410076141357,0.8355742493477132,165.68955852516913,0.0033236367451196795,0.5,0.5033236367451197,-1.338897886092833,-1.338897886092833,-1.338897886092833,-0.4670803080319783,-0.4670803080319783,-2.0396846669793702,-2.0396846669793702,-0.711552802074386,-0.711552802074386,0.34885431733334826
400,874.913844021,-0.19749805480102603,0.109621062874794,1.1873028280526479,-0.024169334890320898,0.109621062874794,-2.13268780708313,-0.024169334890320898,0.109621062874794,-2.13268780708313,0.6138200301238246,165.72355882541544,0.002543851093141198,0.5,0.5025438510931411,-1.1163638812169658,-1.1163638812169658,-1.1163638812169658,-0.4157193973789807,-0.4157193973789807,-1.914438492264484,-1.914438492264484,-0.7129120080951796,-0.7129120080951796,0.37238700066666297
450,875.015025832,0.37371123911630894,0.10098741203546524,1.1873028280526479,-0.014199851993471384,0.10098741203546524,-1.7429248094558716,-0.014199851993471384,0.10098741203546524,-1.7429248094558716,0.32554949054869897,165.7550710723198,0.0014943623590418387,0.5,0.5014943623590419,-0.8270438529077409,-0.8270438529077409,-0.8270438529077409,-0.3357543178214735,-0.3357543178214735,-1.6582762343217778,-1.6582762343217778,-0.6732090491414127,-0.6732090491414127,0.4059691836666464
500,875.235160318,0.961098970000943,-0.06715124100446701,1.1873028280526479,-0.0039480021037161354,-0.06715124100446701,3.775752305984497,-0.0039480021037161354,-0.06715124100446701,3.775752305984497,0.1892488238397806,165.7703986045229,0.0004154538485876798,-0.5,-0.49958454615141235,0.31033572231163176,0.31033572231163176,0.31033572231163176,0.1487742538482095,0.1487742538482095,0.21273649793189428,0.21273649793189428,0.10198540313163446,0.10198540313163446,0.47939777200000816
550,875.424458798,-0.18843640814461574,-0.08596189320087433,1.1873028280526479,-0.024011179320514203,-0.08596189320087433,-7.798823356628418,-0.024011179320514203,-0.08596189320087433,-7.798823356628418,0.8170255678329879,165.72418654618065,0.002527198669563581,0.5,0.5025271986695636,-1.3195527665025515,-1.3195527665025515,-1.3195527665025515,-0.7157453194066936,-0.7157453194066936,0.03270441788339912,0.03270441788339912,0.017739369442577136,0.017739369442577136,0.542415079999993
600,875.612534273,0.09737304443755296,0.1953902393579483,1.1873028280526479,-0.01902286333963275,0.1953902393579483,-5.987791061401367,-0.01902286333963275,0.1953902393579483,-5.987791061401367,0.39475438458442313,165.74187071778113,0.0020020318358868,0.5,0.5020020318358868,-0.8967564164203099,-0.8967564164203099,-0.8967564164203099,-0.5427108921490611,-0.5427108921490611,-1.7384870657396445,-1.7384870657396445,-1.0521205638019648,-1.0521205638019648,0.6051932076666541
650,875.684483199,0.9503516673419279,0.24844685196876526,1.1873028280526479,-0.00413557792082429,0.24844685196876526,-3.0087156295776367,-0.00413557792082429,0.24844685196876526,-3.0087156295776367,-0.12501848365127868,165.77027368451957,0.00043519293524931077,0.5,0.5004351929352493,-0.37541670928397064,-0.37541670928397064,-0.37541670928397064,-0.23623919733050952,-0.23623919733050952,-1.679457815295989,-1.679457815295989,-1.0568356613446985,-1.0568356613446985,0.6292719303333266
700,875.748303677,1.964161768488798,0.1938154697418213,1.1873028280526479,0.013558746334165334,0.1938154697418213,8.375048637390137,0.013558746334165334,0.1938154697418213,8.375048637390137,-0.6130114981814555,165.75653717967853,-0.0014268853682829782,-0.5,-0.501426885368283,1.1144383835497385,1.1144383835497385,1.1144383835497385,0.7249921570042558,0.7249921570042558,-0.577672266229514,-0.577672266229514,-0.3758017208643462,-0.3758017208643462,0.650544855333313
