tick,time_s,euler_roll_deg,gyro_roll_rad_s,roll_offset_deg,roll_rad,rolldot_rad_s,vel_roll_raw_rad_s,roll_f_rad,rolldot_f_rad_s,vel_roll_f_rad_s,tau_fb_roll_nm,denom_roll,tau_ff_roll_g_nm,tau_ff_roll_f_nm,tau_ff_roll_nm,tau_roll_total_nm,tau_motor1_raw_nm,tau_motor1_sat_nm,tau_motor1_ramped_nm,tau_motor1_final_nm,tau_motor2_raw_nm,tau_motor2_sat_nm,tau_motor2_ramped_nm,tau_motor2_final_nm,ramp_scale
50,1016.695685766,-2.9016122757056295,0.07030174881219864,1.2248177989498505,-0.07201979115605354,0.07030174881219864,-0.0016049090772867203,-0.07201979115605354,0.07030174881219864,-0.0016049090772867203,0.5793052552523534,165.3445443735727,0.007591716946469735,0.01604358128673429,0.023635298233204025,-0.6029405534855574,-0.6029405534855574,-0.6029405534855574,-0.02006631684009571,-0.02006631684009571,-0.11241404683428621,-0.11241404683428621,-0.0037412243512463922,-0.0037412243512463922,0.0332807549999643
100,1016.795570753,-2.549712605373522,0.05764924734830856,1.2248177989498505,-0.06587798327207565,0.05764924734830856,-0.05637152120471001,-0.06587798327207565,0.05764924734830856,-0.05637152120471001,0.5507149447897934,165.41426499131822,0.0069423527757188075,0.4050689979565751,0.4120113507322939,-0.9627262955220873,-0.9627262955220873,-0.9627262955220873,-0.06410772194994589,-0.06410772194994589,-0.18598987789472884,-0.18598987789472884,-0.012385023067343976,-0.012385023067343976,0.06658976933332876
150,1016.89532998,-2.207998241197784,0.056290384382009506,1.2248177989498505,-0.05991394251585007,0.056290384382009506,-0.5162152051925659,-0.05991394251585007,0.056290384382009506,-0.5162152051925659,0.47925952265635025,165.47603233583106,0.00631228297017696,0.4999999989224848,0.5063122818926618,-0.985571804549012,-0.985571804549012,-0.985571804549012,-0.09841448476967245,-0.09841448476967245,-0.5973687410314058,-0.5973687410314058,-0.05965038426907443,-0.05965038426907443,0.09985521533330181
200,1016.995763636,-1.9256670357700179,0.009354356676340103,1.2248177989498505,-0.054986333400011064,0.009354356676340103,0.36147305369377136,-0.054986333400011064,0.009354356676340103,0.36147305369377136,0.5262345306242987,165.522652149961,0.005792045643184585,-0.4999994745036925,-0.4942074288605079,-0.03202710176379081,-0.03202710176379081,-0.03202710176379081,-0.004269417734644886,-0.004269417734644886,-0.587774311277531,-0.587774311277531,-0.07835407921219123,-0.07835407921219123,0.13330640299996807
250,1017.095464233,-1.7095645461858686,0.02975468896329403,1.2248177989498505,-0.05121463343501091,0.02975468896329403,-0.3737308382987976,-0.05121463343501091,0.02975468896329403,-0.3737308382987976,0.458244398154115,165.5556369472198,0.005394034823614544,0.49999967816725566,0.5053937129908702,-0.9636381111449852,-0.9636381111449852,-0.9636381111449852,-0.16048786933957498,-0.16048786933957498,-0.6984323076455452,-0.6984323076455452,-0.11631951002723624,-0.11631951002723624,0.16654371333330195
300,1017.195494591,-1.5563916843545147,0.03333894908428192,1.2248177989498505,-0.048541262671351434,0.03333894908428192,-0.6323542594909668,-0.048541262671351434,0.03333894908428192,-0.6323542594909668,0.4214834502023137,165.57759885845175,0.005112018832184302,0.4999999999896514,0.5051120188218357,-0.9265954690241494,-0.9265954690241494,-0.9265954690241494,-0.18521955861066913,-0.18521955861066913,-0.732949296882397,-0.732949296882397,-0.14651112571868158,-0.14651112571868158,0.19989257966665264
350,1017.295364133,-1.3838939762053735,0.019537286832928658,1.2248177989498505,-0.04553060971200466,0.019537286832928658,-1.1273927688598633,-0.04553060971200466,0.019537286832928658,-1.1273927688598633,0.41586594317212444,165.60092338049867,0.0047945093652569494,0.5,0.5047945093652569,-0.9206604525373814,-0.9206604525373814,-0.9206604525373814,-0.21465837880279937,-0.21465837880279937,-0.7374356553643358,-0.7374356553643358,-0.1719382447846166,-0.1719382447846166,0.23315694533331074
400,1017.395511213,-1.330934396928387,0.037332646548748016,1.2248177989498505,-0.04460629068315029,0.037332646548748016,0.5196232795715332,-0.04460629068315029,0.037332646548748016,0.5196232795715332,0.36469606688006356,165.60778505399233,0.0046970464188646035,-0.4999999990598025,-0.49530295264093793,0.13060688576087437,0.13060688576087437,0.13060688576087437,0.03481450895125249,0.03481450895125249,-0.5913223250045218,-0.5913223250045218,-0.15762259590690308,-0.15762259590690308,0.2665595213333063
450,1017.583067716,-0.611548617939055,0.08668122440576553,1.2248177989498505,-0.032050640247762205,0.08668122440576553,1.1927260160446167,-0.032050640247762205,0.08668122440576553,1.1927260160446167,0.13931301399517865,165.68705964900866,0.003373861750591815,-0.5,-0.4966261382494082,0.35731312425422956,0.35731312425422956,0.35731312425422956,0.11755598167191136,0.11755598167191136,-0.46416544994550235,-0.46416544994550235,-0.15271038599663772,-0.15271038599663772,0.328999898666666
500,1017.74764773,0.18595759642464324,0.0350390188395977,1.2248177989498505,-0.018131531001999976,0.0350390188395977,0.8273136019706726,-0.018131531001999976,0.0350390188395977,0.8273136019706726,0.10217611398064386,165.74459892551576,0.001908204064878977,-0.4999999999999957,-0.49809179593511677,0.3959156819544729,0.3959156819544729,0.3959156819544729,0.15194205043450548,0.15194205043450548,-0.10841073583437844,-0.10841073583437844,-0.041605195860069874,-0.041605195860069874,0.38377376133329716
