tick,time_s,euler_roll_deg,gyro_roll_rad_s,roll_offset_deg,roll_rad,rolldot_rad_s,vel_roll_raw_rad_s,roll_f_rad,rolldot_f_rad_s,vel_roll_f_rad_s,tau_fb_roll_nm,denom_roll,tau_ff_roll_g_nm,tau_ff_roll_f_nm,tau_ff_roll_nm,tau_roll_total_nm,tau_motor1_raw_nm,tau_motor1_sat_nm,tau_motor1_ramped_nm,tau_motor1_final_nm,tau_motor2_raw_nm,tau_motor2_sat_nm,tau_motor2_ramped_nm,tau_motor2_final_nm,ramp_scale
50,1453.523041974,-0.20097444766579062,0.001559578813612461,1.1706309371318502,-0.02393903000280261,0.001559578813612461,0.0009259320795536041,-0.02393903000280261,0.001559578813612461,0.0009259320795536041,0.35031847425901613,165.724471538864,0.002519602007568702,-0.009258262476620654,-0.006738660469051952,-0.34357981378996416,-0.34357981378996416,-0.34357981378996416,-0.011396671151310492,-0.011396671151310492,0.2244449770670216,0.2244449770670216,0.007444923981360473,0.007444923981360473,0.03317037466664866
100,1453.623362011,-0.18200599848446028,0.01617358811199665,1.1706309371318502,-0.02360796811059117,0.01617358811199665,-0.0009140742477029562,-0.02360796811059117,0.01617358811199665,-0.0009140742477029562,0.3279061821175485,165.72576825216416,0.0024847445563741994,0.00913972429576123,0.011624468852135429,-0.33953065096968393,-0.33953065096968393,-0.33953065096968393,-0.022613124345155944,-0.022613124345155944,0.3347542296970978,0.3347542296970978,0.022295009300598502,0.022295009300598502,0.06660112800000206
150,1453.723204574,-0.14229985434314152,0.014947977848351002,1.1706309371318502,-0.022914965162053703,0.014947977848351002,-0.0744219422340393,-0.022914965162053703,0.014947977848351002,-0.0744219422340393,0.3141370736814569,165.7284241757622,0.0024117801314027945,0.4515185388287659,0.4539303189601687,-0.7680673926416256,-0.7680673926416256,-0.7680673926416256,-0.07672386428048289,-0.07672386428048289,0.20864179921511913,0.20864179921511913,0.020841667332290568,0.020841667332290568,0.09989209933337406
200,1453.823142358,-0.04444677233793031,0.01922396384179592,1.1706309371318502,-0.021207106697838752,0.01922396384179592,-0.3528778553009033,-0.021207106697838752,0.01922396384179592,-0.3528778553009033,0.27689313230336765,165.73463179505544,0.002231973946203505,0.4999992588886501,0.5022312328348536,-0.7791243651382213,-0.7791243651382213,-0.7791243651382213,-0.10378037751893705,-0.10378037751893705,0.2456816276943983,0.2456816276943983,0.032725111949320554,0.032725111949320554,0.13320129899996877
250,1453.923165437,0.10264561697147223,0.02027682401239872,1.1706309371318502,-0.01863986019976437,0.02027682401239872,-0.5373867154121399,-0.01863986019976437,0.02027682401239872,-0.5373867154121399,0.23287325120941005,165.74305905846757,0.0019617139139506278,0.4999999995380057,0.5019617134519564,-0.7348349646613664,-0.7348349646613664,-0.7348349646613664,-0.12237042798307012,-0.12237042798307012,0.2979328722289838,0.2979328722289838,0.0496140968219811,0.0496140968219811,0.16652776999997818
300,1454.023122572,0.22968981691656715,0.020844535902142525,1.1706309371318502,-0.016422520615160464,0.020844535902142525,0.3459569811820984,-0.016422520615160464,0.020844535902142525,0.3459569811820984,0.2029191637340213,165.7494638331856,0.0017283101593702215,-0.4999990225123943,-0.4982707123530241,0.2953515486190028,0.2953515486190028,0.2953515486190028,0.059031582244233154,0.059031582244233154,0.5873057414712,0.5873057414712,0.11738413880771793,0.11738413880771793,0.19986887666664188
350,1454.123027986,0.32497690557334236,0.016201026737689972,1.1706309371318502,-0.014759447183459996,0.016201026737689972,-1.3541555404663086,-0.014759447183459996,0.016201026737689972,-1.3541555404663086,0.1877126618388353,165.75373601651242,0.0015532612873434826,0.5,0.5015532612873435,-0.6892659231261787,-0.6892659231261787,-0.6892659231261787,-0.16071437123406562,-0.16071437123406562,0.010347875242198046,0.010347875242198046,0.0024127875865610883,0.0024127875865610883,0.23316744066664796
400,1454.223597799,0.5273554907220995,0.03414450213313103,1.1706309371318502,-0.011227274537086485,0.03414450213313103,1.3045744895935059,-0.011227274537086485,0.03414450213313103,1.3045744895935059,0.0893572598794638,165.76129796220516,0.001181505100325262,-0.5,-0.4988184948996747,0.4094612350202109,0.4094612350202109,0.4094612350202109,0.10918965325444813,0.10918965325444813,0.35375499745028893,0.35375499745028893,0.09433465785037902,0.09433465785037902,0.26666664366666737
450,1454.341711624,0.6751446693836024,0.018464725464582443,1.1706309371318502,-0.008647866770625113,0.018464725464582443,-1.4292434453964233,-0.008647866770625113,0.018464725464582443,-1.4292434453964233,0.09739221125227973,165.76552149179264,0.0009100450543236921,0.5,0.5009100450543237,-0.5983022563066034,-0.5983022563066034,-0.5983022563066034,-0.1830537554929556,-0.1830537554929556,0.24500800224550895,0.24500800224550895,0.07496150058622453,0.07496150058622453,0.30595531533337333
500,1454.510536823,1.0655482505011877,0.07197514921426773,1.1706309371318502,-0.0018340388685464844,0.07197514921426773,4.360370635986328,-0.0018340388685464844,0.07197514921426773,4.360370635986328,-0.11420226225174913,165.77140560688738,0.00019299772644121538,-0.5,-0.4998070022735588,0.6140092645253079,0.6140092645253079,0.6140092645253079,0.22242288428586607,0.22242288428586607,0.02943225523507796,0.02943225523507796,0.01066173994212427,0.01066173994212427,0.3622467886666527
550,1454.663340433,1.143572169432888,0.05266880244016647,1.1706309371318502,-0.0004722645878791794,0.05266880244016647,0.15867580473423004,-0.0004722645878791794,0.05266880244016647,0.15867580473423004,-0.03466338991392677,165.7716643531163,4.9696818724093356e-05,-0.4982511250707503,-0.49820142825202623,0.532864818165953,0.532864818165953,0.532864818165953,0.2201720482982113,0.2201720482982113,0.06647543097293221,0.06647543097293221,0.027466688172794067,0.027466688172794067,0.413185560000026
600,1454.8216842,1.3275108713286239,-0.03969411179423332,1.1706309371318502,0.0027380713820457474,-0.03969411179423332,-4.577495098114014,0.0027380713820457474,-0.03969411179423332,-4.577495098114014,0.058137918533119795,165.7710650788051,-0.00028813035651593976,0.5,0.4997118696434841,-0.5578497881766039,-0.5578497881766039,-0.5578497881766039,-0.2599390864634677,-0.2599390864634677,0.31192721436410087,0.31192721436410087,0.14534750548158262,0.14534750548158262,0.4659660933333119
650,1455.006818224,1.568961793748277,-0.042283184826374054,1.1706309371318502,0.006952184960246088,-0.042283184826374054,2.5066781044006348,0.006952184960246088,-0.042283184826374054,2.5066781044006348,-0.03112745831052531,165.76770079935295,-0.0007315961755701337,-0.5,-0.5007315961755702,0.5318590544860955,0.5318590544860955,0.5318590544860955,0.2806183336675752,0.2806183336675752,0.7907960832471614,0.7907960832471614,0.41723813344887795,0.41723813344887795,0.5276178553333466
700,1455.211520746,2.0544385131829723,0.11340736597776413,1.1706309371318502,0.015425352156162263,0.11340736597776413,0.7122096419334412,0.015425352156162263,0.11340736597776413,0.7122096419334412,-0.4575114217645049,165.75208010686265,-0.0016233508711899652,-0.49999999999957573,-0.5016233508707657,0.9591347726352706,0.9591347726352706,0.9591347726352706,0.5713326482111701,0.5713326482111701,0.8912869171261172,0.8912869171261172,0.5309173738728326,0.5309173738728326,0.5956750443333476
750,1455.477920243,3.398363182860783,0.07661376893520355,1.1706309371318502,0.038881262540817266,0.07661376893520355,5.700846195220947,0.038881262540817266,0.07661376893520355,5.700846195220947,-0.7478449811168655,165.64715140953982,-0.004093553569837324,-0.5,-0.5040935535698373,1.251938534686703,1.251938534686703,1.251938534686703,0.857185703562161,0.857185703562161,1.3908788466703335,1.3908788466703335,0.9523162916709763,0.9523162916709763,0.68468673166664
800,1455.682636088,2.3513965687183207,-0.1297663152217865,1.1706309371318502,0.020608247965574266,-0.1297663152217865,4.274880409240723,0.020608247965574266,-0.1297663152217865,4.274880409240723,-0.04542573508992753,165.736694708969,-0.002168928210952666,-0.5,-0.5021689282109527,0.5475946633008802,0.5475946633008802,0.5475946633008802,0.4123093637675936,0.4123093637675936,1.285533317629804,1.285533317629804,0.9679375271828663,0.9679375271828663,0.7529462783333353
850,1455.875538594,1.3674840198375946,0.016664106398820877,1.1706309371318502,0.0034357344359159485,0.016664106398820877,1.502364993095398,0.0034357344359159485,0.016664106398820877,1.502364993095398,-0.07100504757869297,165.77071022409584,-0.0003615467452212221,-0.5,-0.5003615467452213,0.5713665943239142,0.5713665943239142,0.5713665943239142,0.46694806344591594,0.46694806344591594,0.8043007218801443,0.8043007218801443,0.6573129550118091,0.6573129550118091,0.8172477496666488
900,1456.030304348,1.8011742449852532,0.04260586202144623,1.1706309371318502,0.011005056798458101,0.04260586202144623,3.7575974464416504,0.011005056798458101,0.04260586202144623,3.7575974464416504,-0.22886969028654938,165.7617049743479,-0.0011581180698580125,-0.5,-0.501158118069858,0.7300278083564073,0.7300278083564073,0.7300278083564073,0.6342801015367954,0.6342801015367954,0.6663770597338705,0.6663770597338705,0.5789775461586782,0.5789775461586782,0.8688437540000299
950,1456.185541076,1.758877444776303,-0.008084085769951344,1.1706309371318502,0.010266838371753694,-0.008084085769951344,5.36006498336792,0.010266838371753694,-0.008084085769951344,5.36006498336792,-0.1065827918508801,165.76299867992023,-0.0010804259876117056,-0.5,-0.5010804259876117,0.6076632178384918,0.6076632178384918,0.6076632178384918,0.5594648838732922,0.5594648838732922,0.6896877889837569,0.6896877889837569,0.6349834701944727,0.6349834701944727,0.9206824890000007
1000,1456.24285915,1.6320004910843808,-0.011442096903920174,1.1706309371318502,0.008052417784929277,-0.011442096903920174,4.552111625671387,0.008052417784929277,-0.011442096903920174,4.552111625671387,-0.0884347301612596,165.7663407408662,-0.0008473811060520871,-0.5,-0.5008473811060521,0.5892821112673117,0.5892821112673117,0.5892821112673117,0.5537575933481041,0.5537575933481041,0.6513485048472915,0.6513485048472915,0.6120823516930167,0.6120823516930167,0.939715600999989
1050,1456.337610636,1.547422258592113,-0.004449542611837387,1.1706309371318502,0.006576249152421953,-0.004449542611837387,5.270001411437988,0.006576249152421953,-0.004449542611837387,5.270001411437988,-0.08591788804603988,165.76811979594626,-0.0006920343279736408,-0.5,-0.5006920343279736,0.5866099223740134,0.5866099223740134,0.5866099223740134,0.569729283281839,0.569729283281839,0.37533678639681123,0.37533678639681123,0.36453586982939346,0.36453586982939346,0.9712234000000232
1100,1456.496724775,1.3379232812748967,-0.01997598074376583,1.1706309371318502,0.002919802218675615,-0.01997598074376583,5.100263595581055,0.002919802218675615,-0.01997598074376583,5.100263595581055,0.004431072956365759,165.77098036896376,-0.0003072542028927333,-0.5,-0.5003072542028927,0.49587618124652694,0.49587618124652694,0.49587618124652694,0.49587618124652694,0.49587618124652694,0.7745947246359203,0.7745947246359203,0.7745947246359203,0.7745947246359203,1.0
1150,1456.659251066,1.3699096974883012,0.027672959491610527,1.1706309371318502,0.003478070497512819,0.027672959491610527,6.5985212326049805,0.003478070497512819,0.027672959491610527,6.5985212326049805,-0.08146211934450914,165.7706861095386,-0.00036600185871786767,-0.5,-0.5003660018587178,0.581828121203227,0.581828121203227,0.581828121203227,0.581828121203227,0.581828121203227,0.9022885958805802,0.9022885958805802,0.9022885958805802,0.9022885958805802,1.0
1200,1456.81495659,1.461887906337749,0.019223231822252274,1.1706309371318502,0.0050833930820226685,0.019223231822252274,6.415577411651611,0.0050833930820226685,0.019223231822252274,6.415577411651611,-0.12449477028272682,165.7695538094601,-0.0005349344599453883,-0.5,-0.5005349344599453,0.6250297047426722,0.6250297047426722,0.6250297047426722,0.6250297047426722,0.6250297047426722,0.6491257132692065,0.6491257132692065,0.6491257132692065,0.6491257132692065,1.0
1250,1456.969579279,1.57024661636418,-0.11804702877998352,1.1706309371318502,0.006974609345197683,-0.11804702877998352,6.633739471435547,0.006974609345197683,-0.11804702877998352,6.633739471435547,0.04714523592747362,165.76767507047938,-0.0007339560265737234,-0.5,-0.5007339560265738,0.4535887200991002,0.4535887200991002,0.4535887200991002,0.4535887200991002,0.4535887200991002,0.792171118759831,0.792171118759831,0.792171118759831,0.792171118759831,1.0
1300,1457.123819603,0.8927003350745246,-0.0730167105793953,1.1706309371318502,-0.004850804097950457,-0.0730167105793953,3.9509217739105225,-0.004850804097950457,-0.0730167105793953,3.9509217739105225,0.20563116047667468,165.76974416815213,0.0005104583194888164,-0.5,-0.4994895416805112,0.2938583812038365,0.2938583812038365,0.2938583812038365,0.2938583812038365,0.2938583812038365,0.08311452394569611,0.08311452394569611,0.08311452394569611,0.08311452394569611,1.0
1350,1457.254241698,0.9246028146663319,-0.023512881249189377,1.1706309371318502,-0.004294000789523123,-0.023512881249189377,4.563085079193115,-0.004294000789523123,-0.023512881249189377,4.563085079193115,0.08277199108728814,165.77016366365882,0.0004518642055994828,-0.5,-0.4995481357944005,0.41677614470711233,0.41677614470711233,0.41677614470711233,0.41677614470711233,0.41677614470711233,0.1458372819718588,0.1458372819718588,0.1458372819718588,0.1458372819718588,1.0
1400,1457.314412898,1.071691151885968,-0.07971904426813126,1.1706309371318502,-0.0017268250137567505,-0.07971904426813126,2.318636417388916,-0.0017268250137567505,-0.07971904426813126,2.318636417388916,0.17897546749418958,165.7714370596383,0.0001817154834090397,-0.5,-0.49981828451659094,0.32084281702240136,0.32084281702240136,0.32084281702240136,0.32084281702240136,0.32084281702240136,0.1315970864487676,0.1315970864487676,0.1315970864487676,0.1315970864487676,1.0
1450,1457.436982968,0.9366028167078096,-0.01620250567793846,1.1706309371318502,-0.004084561243653296,-0.01620250567793846,2.9887547492980957,-0.004084561243653296,-0.01620250567793846,2.9887547492980957,0.11654852413282117,165.7703082340936,0.00042982431588180415,-0.5,-0.4995701756841182,0.383021651551297,0.383021651551297,0.383021651551297,0.383021651551297,0.383021651551297,-0.021305119098655137,-0.021305119098655137,-0.021305119098655137,-0.021305119098655137,1.0
1500,1457.590714102,0.8113634542302509,-0.08924427628517151,1.1706309371318502,-0.006270400471985337,-0.08924427628517151,0.37824371457099915,-0.006270400471985337,-0.08924427628517151,0.37824371457099915,0.3326752379206187,165.7684434984688,0.0006598482880185774,-0.49999973132110026,-0.4993398830330817,0.16666464511246298,0.16666464511246298,0.16666464511246298,0.16666464511246298,0.16666464511246298,0.3799436123239195,0.3799436123239195,0.3799436123239195,0.3799436123239195,1.0
1550,1457.753650153,1.4121083137279324,0.12783116102218628,1.1706309371318502,0.004214575290679933,0.12783116102218628,-2.3088395595550537,0.004214575290679933,0.12783116102218628,-2.3088395595550537,-0.3878265841028313,165.77021933966938,-0.0004435060410764564,0.5,0.49955649395892354,-0.11172990985609227,-0.11172990985609227,-0.11172990985609227,-0.11172990985609227,-0.11172990985609227,-0.6023469816239452,-0.6023469816239452,-0.6023469816239452,-0.6023469816239452,1.0
1600,1457.913986706,2.1371175261991535,-0.0008024609414860606,1.1706309371318502,0.016868373155593874,-0.0008024609414860606,4.9301252365112305,0.016868373155593874,-0.0008024609414860606,4.9301252365112305,-0.2560428084971596,165.7482410506622,-0.0017752404965778231,-0.5,-0.5017752404965778,0.7578180489937374,0.7578180489937374,0.7578180489937374,0.7578180489937374,0.7578180489937374,0.22530008939995544,0.22530008939995544,0.22530008939995544,0.22530008939995544,1.0
1650,1458.06932928,0.8901426960346193,-0.16149857640266418,1.1706309371318502,-0.0048954433202743515,-0.16149857640266418,-5.621725559234619,-0.0048954433202743515,-0.16149857640266418,-5.621725559234619,0.4440911091611281,165.7697083251057,0.0005151558543867096,0.5,0.5005151558543867,-0.9446062650155147,-0.9446062650155147,-0.9446062650155147,-0.9446062650155147,-0.9446062650155147,-0.3258918457912997,-0.3258918457912997,-0.3258918457912997,-0.3258918457912997,1.0
1700,1458.200182409,1.1455761896240522,0.1826297789812088,1.1706309371318502,-0.000437287837266917,0.1826297789812088,-2.3549489974975586,-0.000437287837266917,0.1826297789812088,-2.3549489974975586,-0.36517201533582366,165.77166697407253,4.6016183953426115e-05,0.5,0.5000460161839534,-0.13487400084812973,-0.13487400084812973,-0.13487400084812973,-0.13487400084812973,-0.13487400084812973,-0.4776917466718446,-0.4776917466718446,-0.4776917466718446,-0.4776917466718446,1.0
1750,1458.263155032,1.745893148442403,0.1260579228401184,1.1706309371318502,0.01004021964967251,0.1260579228401184,-1.0760290622711182,0.01004021964967251,0.1260579228401184,-1.0760290622711182,-0.40653010072295376,165.76337780971346,-0.0010565762650192705,0.5,0.49894342373498074,-0.09241332301202698,-0.09241332301202698,-0.09241332301202698,-0.09241332301202698,-0.09241332301202698,0.02640933720557829,0.02640933720557829,0.02640933720557829,0.02640933720557829,1.0
