tick,time_s,euler_roll_deg,gyro_roll_rad_s,roll_offset_deg,roll_rad,rolldot_rad_s,vel_roll_raw_rad_s,roll_f_rad,rolldot_f_rad_s,vel_roll_f_rad_s,tau_fb_roll_nm,denom_roll,tau_ff_roll_g_nm,tau_ff_roll_f_nm,tau_ff_roll_nm,tau_roll_total_nm,tau_motor1_raw_nm,tau_motor1_sat_nm,tau_motor1_ramped_nm,tau_motor1_final_nm,tau_motor2_raw_nm,tau_motor2_sat_nm,tau_motor2_ramped_nm,tau_motor2_final_nm,ramp_scale
50,1172.212963349,-0.15028282469857907,-0.02209339663386345,1.2603338338779524,-0.02461990517564118,-0.02209339663386345,-0.11805178970098495,-0.02461990517564118,-0.02209339663386345,-0.11805178970098495,0.43417220773640647,165.72174791860155,0.002591292970184595,0.49118172471857036,0.493773017688755,-0.9279452254251614,-0.9279452254251614,-0.9279452254251614,-0.03079705010694747,-0.03079705010694747,-1.2182444841068791,-1.2182444841068791,-0.04043162828103562,-0.04043162828103562,0.033188435333386224
100,1172.312827304,-0.32710394921084596,-0.02005595527589321,1.2603338338779524,-0.02770601598545909,-0.02005595527589321,-0.2557392716407776,-0.02770601598545909,-0.02005595527589321,-0.2557392716407776,0.47339221910154516,165.70844548008475,0.002916267744935458,0.49996391404953716,0.5028801817944726,-0.9762724008960177,-0.9762724008960177,-0.9762724008960177,-0.06497478292850487,-0.06497478292850487,-1.1410407170130836,-1.1410407170130836,-0.07594076492633244,-0.07594076492633244,0.06655394833334564
150,1172.412786292,-0.4755082184236203,-0.013635502196848392,1.2603338338779524,-0.030296159107238055,-0.013635502196848392,-0.9753233194351196,-0.030296159107238055,-0.013635502196848392,-0.9753233194351196,0.5125763538197122,165.69607006933975,0.0031890582142014173,0.5,0.5031890582142015,-1.0157654120339137,-1.0157654120339137,-1.0157654120339137,-0.10144860487257751,-0.10144860487257751,-0.753524636926316,-0.753524636926316,-0.07525755676226746,-0.07525755676226746,0.09987404933334194
200,1172.513030621,-0.5911409198335561,-0.04632280021905899,1.2603338338779524,-0.032314330469816924,-0.04632280021905899,0.12240957468748093,-0.032314330469816924,-0.04632280021905899,0.12240957468748093,0.6174188631416957,165.68566160381098,0.003401638601909332,-0.4925818736338964,-0.48918023503198704,-0.12823862810970865,-0.12823862810970865,-0.12823862810970865,-0.01708676419072463,-0.01708676419072463,-0.2609452085385512,-0.2609452085385512,-0.03476884703712866,-0.03476884703712866,0.13324194466667905
250,1172.65965222,-1.0367952885295497,-0.037503939121961594,1.2603338338779524,-0.04009246652945876,-0.037503939121961594,-0.1587737500667572,-0.04009246652945876,-0.037503939121961594,-0.1587737500667572,0.7409927172638346,165.63927298051027,0.004221206775071144,0.4982579515189958,0.502479158294067,-1.2434718755579017,-1.2434718755579017,-1.2434718755579017,-0.2263813445919939,-0.2263813445919939,-0.7305365675586586,-0.7305365675586586,-0.13299846477295602,-0.13299846477295602,0.18205586233337576
300,1172.834686116,-1.3051972836404269,0.006325087510049343,1.2603338338779524,-0.04477696506306529,0.006325087510049343,-0.23870447278022766,-0.04477696506306529,0.006325087510049343,-0.23870447278022766,0.6624402618470383,165.60652864075905,0.004715042228073047,0.4999286740427297,0.5046437162708027,-1.167083978117841,-1.167083978117841,-1.167083978117841,-0.2805179591416604,-0.2805179591416604,-0.840502386248557,-0.840502386248557,-0.20202146414894434,-0.20202146414894434,0.24035799000004468
350,1173.059082021,-1.092106587315136,0.01654917187988758,1.2603338338779524,-0.041057830806821585,0.01654917187988758,-0.9676680564880371,-0.041057830806821585,0.01654917187988758,-0.9676680564880371,0.5565226780763299,165.63282067784587,0.004322958821872359,0.5,0.5043229588218724,-1.0608456368982022,-1.0608456368982022,-1.0608456368982022,-0.33424673644799185,-0.33424673644799185,-0.7794447760178311,-0.7794447760178311,-0.24558414868646528,-0.24558414868646528,0.31507575166665447
400,1173.288344198,-0.5033411859305693,0.03568798303604126,1.2603338338779524,-0.030781936030834914,0.03568798303604126,0.7124758362770081,-0.030781936030834914,0.03568798303604126,0.7124758362770081,0.3214197628457881,165.69362603427226,0.0032402242179544968,-0.4999999999995802,-0.4967597757816257,0.17534001293583762,0.17534001293583762,0.17534001293583762,0.06865445132433991,0.06865445132433991,-0.5017981042382028,-0.5017981042382028,-0.19647924592474117,-0.19647924592474117,0.39155039500004324
450,1173.444978846,-0.22798784583319104,0.06854864209890366,1.2603338338779524,-0.02597611363977194,0.06854864209890366,-1.105687141418457,-0.02597611363977194,0.06854864209890366,-1.105687141418457,0.2337450550743816,165.71609530864765,0.0027340985410549594,0.5,0.502734098541055,-0.7364791536154366,-0.7364791536154366,-0.7364791536154366,-0.3268904292660418,-0.3268904292660418,-0.6217532336903014,-0.6217532336903014,-0.27596868215593745,-0.27596868215593745,0.44385564433332547
500,1173.520322662,0.19252063448465856,0.06311452388763428,1.2603338338779524,-0.018636856125667692,0.06311452388763428,-0.8512486219406128,-0.018636856125667692,0.06311452388763428,-0.8512486219406128,0.08991456853538332,165.7430682836662,0.001961397683761443,0.4999999999999984,0.5019613976837598,-0.5918759662191431,-0.5918759662191431,-0.5918759662191431,-0.2776245913997925,-0.2776245913997925,-0.3496997274789556,-0.3496997274789556,-0.1640297114514325,-0.1640297114514325,0.46905873400002446
