tick,time_s,euler_roll_deg,gyro_roll_rad_s,roll_offset_deg,roll_rad,rolldot_rad_s,vel_roll_raw_rad_s,roll_f_rad,rolldot_f_rad_s,vel_roll_f_rad_s,tau_fb_roll_nm,denom_roll,tau_ff_roll_g_nm,tau_ff_roll_f_nm,tau_ff_roll_nm,tau_roll_total_nm,tau_motor1_raw_nm,tau_motor1_sat_nm,tau_motor1_ramped_nm,tau_motor1_final_nm,tau_motor2_raw_nm,tau_motor2_sat_nm,tau_motor2_ramped_nm,tau_motor2_final_nm,ramp_scale
50,10106.592477235,-1.3882239959740441,-0.0009930678643286228,-1.3994074264886887,0.00019518768414854976,-0.0009930678643286228,-0.011005200445652008,0.00019518768414854976,-0.0009930678643286228,-0.011005200445652008,0.0,165.77167958919173,-2.0539770740183563e-05,0.10830859611404167,0.10828805634330149,-0.10828805634330149,-0.10828805634330149,-0.10828805634330149,-0.0035985996672209513,-0.0035985996672209513,-0.011395050401640287,-0.011395050401640287,-0.00037867726107584975,-0.00037867726107584975,0.03323173200017967
100,10106.775643645,-1.3868181509437851,0.002808972727507353,-1.3994074264886887,0.00021972430869936915,0.002808972727507353,0.18332667648792267,0.00021972430869936915,0.002808972727507353,0.18332667648792267,0.0,165.7716787504594,-2.3121781282431062e-05,-0.49934686088529945,-0.4993699826665819,0.4993699826665819,0.4993699826665819,0.4993699826665819,0.047056745729974966,0.047056745729974966,0.12422380085814579,0.12422380085814579,0.011705885442649376,0.011705885442649376,0.09423222733312286
150,10106.940436229,-1.3878459876921663,-0.0005775280296802521,-1.3994074264886887,0.0002017851732671258,-0.0005775280296802521,-0.61312335729599,0.0002017851732671258,-0.0005775280296802521,-0.61312335729599,0.0,165.77167937342122,-2.123403030954668e-05,0.49999999997766653,0.49997876594735696,-0.49997876594735696,-0.49997876594735696,-0.49997876594735696,-0.07456627267720224,-0.07456627267720224,-0.11020158562509536,-0.11020158562509536,-0.01643534094415145,-0.01643534094415145,0.1491388790000201
200,10107.130217834,-1.3887150225423446,0.0018545364728197455,-1.3994074264886887,0.00018661765381693812,0.0018545364728197455,-0.8531500101089478,0.00018661765381693812,0.0018545364728197455,-0.8531500101089478,0.0,165.77167985876505,-1.9637938930669148e-05,0.4999999999999985,0.49998036206106783,-0.49998036206106783,-0.49998036206106783,-0.49998036206106783,-0.10620793959271184,-0.10620793959271184,-0.13879309182974192,-0.13879309182974192,-0.029483014597158266,-0.029483014597158266,0.21242422233323546
250,10107.193790352,-1.3867215678000528,0.0011447378201410174,-1.3994074264886887,0.00022141000255942317,0.0011447378201410174,-0.35605350136756897,0.00022141000255942317,0.0011447378201410174,-0.35605350136756897,0.0,165.77167868919585,-2.3299168328177137e-05,0.49999934729508916,0.499976048126761,-0.499976048126761,-0.499976048126761,-0.499976048126761,-0.11684648818067223,-0.11684648818067223,-0.13111318256201276,-0.13111318256201276,-0.030641697725244575,-0.030641697725244575,0.23370417166673482
300,10107.360339915,-1.3915641719215919,0.0006582560017704964,-1.3994074264886887,0.00013689061626791926,0.0006582560017704964,3.28985857963562,0.00013689061626791926,0.0006582560017704964,3.28985857963562,0.0,165.77168118411498,-1.4405119200582934e-05,-0.5,-0.5000144051192006,0.5000144051192006,0.5000144051192006,0.5000144051192006,0.14449202289631313,0.14449202289631313,0.12886190548174967,0.12886190548174967,0.03723796196010138,0.03723796196010138,0.2889757203332313
350,10107.571160108,-1.3855893572234175,-0.003932219464331865,-1.3994074264886887,0.0002411708049476144,-0.003932219464331865,1.8111300468444824,0.0002411708049476144,-0.003932219464331865,1.8111300468444824,0.0,165.7716779361095,-2.5378614933057135e-05,-0.5,-0.500025378614933,0.500025378614933,0.500025378614933,0.500025378614933,0.17970825619693964,0.17970825619693964,0.11927288212694163,0.11927288212694163,0.042866467534085455,0.042866467534085455,0.35939827033325855
400,10107.734147159,-1.3863189068041395,-0.0012710943119600415,-1.3994074264886887,0.00022843776270747157,-0.0012710943119600415,2.1924078464508057,0.00022843776270747157,-0.0012710943119600415,2.1924078464508057,0.0,165.77167842873942,-2.403870570374594e-05,-0.5,-0.5000240387057038,0.5000240387057038,0.5000240387057038,0.5000240387057038,0.20687147486675686,0.20687147486675686,0.1291867426240841,0.1291867426240841,0.05344753434065559,0.05344753434065559,0.4137230589997974
450,10107.8526931,-1.3921068517954907,-0.0001223689178004861,-1.3994074264886887,0.00012741906568407985,-0.0001223689178004861,3.3260748386383057,0.00012741906568407985,-0.0001223689178004861,3.3260748386383057,0.0,165.77168139036155,-1.3408419642847509e-05,-0.5,-0.5000134084196428,0.5000134084196428,0.5000134084196428,0.5000134084196428,0.22667610390702164,0.22667610390702164,0.13906623535382023,0.13906623535382023,0.06304429418133682,0.06304429418133682,0.4533400506667628
500,10107.913746428,-1.391692024525118,0.00018245239334646612,-1.3994074264886887,0.00013465916737914058,0.00018245239334646612,4.298960208892822,0.00013465916737914058,0.00018245239334646612,4.298960208892822,0.0,165.77168123403663,-1.4170301880758679e-05,-0.5,-0.5000141703018808,0.5000141703018808,0.5000141703018808,0.5000141703018808,0.23679325734043052,0.23679325734043052,0.11079100891868604,0.11079100891868604,0.052467640807158294,0.052467640807158294,0.47357309333347075
