tick,time_s,euler_roll_deg,gyro_roll_rad_s,roll_offset_deg,roll_rad,rolldot_rad_s,vel_roll_raw_rad_s,roll_f_rad,rolldot_f_rad_s,vel_roll_f_rad_s,tau_fb_roll_nm,denom_roll,tau_ff_roll_g_nm,tau_ff_roll_f_nm,tau_ff_roll_nm,tau_roll_total_nm,tau_motor1_raw_nm,tau_motor1_sat_nm,tau_motor1_ramped_nm,tau_motor1_final_nm,tau_motor2_raw_nm,tau_motor2_sat_nm,tau_motor2_ramped_nm,tau_motor2_final_nm,ramp_scale
50,599.832056508,-3.8230156803543394,0.0013063710648566484,1.1907892746357056,-0.08750740451738238,0.0013063710648566484,-0.12813729047775269,-0.08750740451738238,0.0013063710648566484,-0.12813729047775269,2.6249353786886918,165.1412118464193,0.009231843706814822,0.4940918192590424,0.5033236629658572,-3.128259041654549,-3.128259041654549,-2.2,-0.11295131539999755,-0.11295131539999755,-1.2236970519069315,-1.2236970519069315,-0.0628264507563577,-0.0628264507563577,0.05134150699999888
100,599.969209562,-3.854922055288408,0.04458056390285492,1.1907892746357056,-0.08806427581235766,0.04458056390285492,-0.06841476261615753,-0.08806427581235766,0.04458056390285492,-0.06841476261615753,2.5979672641577345,165.13316725622326,0.009290893558373875,0.43915154942828183,0.4484424429866557,-3.0464097071443903,-3.0464097071443903,-2.2,-0.21394513433333487,-0.21394513433333487,-1.5106951346544912,-1.5106951346544912,-0.1469117606910775,-0.1469117606910775,0.09724778833333403
150,600.026437094,-3.716099741068368,0.08163748681545258,1.1907892746357056,-0.08564136935397983,0.08163748681545258,-0.08747542649507523,-0.08564136935397983,0.08163748681545258,-0.08747542649507523,2.490455767209349,165.16779760834018,0.009034013419234526,0.47065978868456937,0.4796938021038039,-2.9701495693131528,-2.9701495693131528,-2.2,-0.25590960046665717,-0.25590960046665717,-1.5995420569573962,-1.5995420569573962,-0.18606280396617372,-0.18606280396617372,0.11632254566666234
200,600.119407618,-3.2976302723209656,0.10885076969861984,1.1907892746357056,-0.07833769930526614,0.10885076969861984,-0.34727850556373596,-0.07833769930526614,0.10885076969861984,-0.34727850556373596,2.242825677888838,165.26635620077704,0.008260295708806308,0.49999907284135664,0.508259368550163,-2.751085046439001,-2.751085046439001,-2.2,-0.3238268176000096,-0.3238268176000096,-1.8279498157559468,-1.8279498157559468,-0.2690632598039873,-0.2690632598039873,0.14719400800000434
250,600.26936103,-2.1602983344685303,0.14053627848625183,1.1907892746357056,-0.058487512301653624,0.14053627848625183,-1.453101634979248,-0.058487512301653624,0.14053627848625183,-1.453101634979248,1.6100474002998082,165.48993846958643,0.0061616559216093846,0.5,0.5061616559216093,-2.1162090562214173,-2.1162090562214173,-2.1162090562214173,-0.4173035536925949,-0.4173035536925949,-1.8497495973476383,-1.8497495973476383,-0.364759369186752,-0.364759369186752,0.19719391733334155
300,600.434389397,-0.648821707291755,0.19662554562091827,1.1907892746357056,-0.03210726859048009,0.19662554562091827,-0.12952470779418945,-0.03210726859048009,0.19662554562091827,-0.12952470779418945,0.7806116587259107,165.68676037972455,0.0033798268814235507,0.49440898822986484,0.4977888151112884,-1.278400473837199,-1.278400473837199,-1.278400473837199,-0.32241229524242127,-0.32241229524242127,-1.676668753548334,-1.676668753548334,-0.4228554605977166,-0.4228554605977166,0.2521997619999941
350,600.605049043,0.6211199541220643,0.04583749547600746,1.1907892746357056,-0.009942605290561915,0.04583749547600746,1.4914594888687134,-0.009942605290561915,0.04583749547600746,1.4914594888687134,0.2537266318675672,165.76353850973922,0.0010463032045154267,-0.5,-0.49895369679548457,0.24522706492791735,0.24522706492791735,0.24522706492791735,0.07579631201700072,0.07579631201700072,-0.691796094886111,-0.691796094886111,-0.21382465542921764,-0.21382465542921764,0.30908624233332677
400,600.77697712,0.8914826937724112,0.0023708732333034277,1.1907892746357056,-0.005223885308951138,0.0023708732333034277,1.3260762691497803,-0.005223885308951138,0.0023708732333034277,1.3260762691497803,0.15418513711281737,165.76943450766973,0.0005497189688363319,-0.5,-0.4994502810311637,0.3452651439183463,0.3452651439183463,0.3452651439183463,0.12648893899352565,0.12648893899352565,-0.08637216423445085,-0.08637216423445085,-0.03164270591755412,-0.03164270591755412,0.3663530513333247
450,600.892185888,0.8985287809532198,0.0033393660560250282,1.1907892746357056,-0.0051009078882634645,0.0033393660560250282,2.0307180881500244,-0.0051009078882634645,0.0033393660560250282,2.0307180881500244,0.14727425283494552,165.76953911386195,0.00053677760566365,-0.5,-0.4994632223943363,0.35218896955939083,0.35218896955939083,0.35218896955939083,0.14260250569947316,0.14260250569947316,0.4102413834782985,0.4102413834782985,0.16610812456395949,0.16610812456395949,0.4049033843333518
500,600.948732343,0.8629684148957533,-0.012879984453320503,1.1907892746357056,-0.005721553359180689,-0.012879984453320503,2.229029893875122,-0.005721553359180689,-0.012879984453320503,2.229029893875122,0.1867075084443669,165.76898573816143,0.0006020905678562824,-0.5,-0.49939790943214374,0.31269040098777684,0.31269040098777684,0.31269040098777684,0.13250424219445653,0.13250424219445653,0.2472595500099673,0.2472595500099673,0.10477756655118349,0.10477756655118349,0.4237553880000178
