tick,time_s,euler_roll_deg,euler_pitch_deg,gyro_roll_rad_s,gyro_pitch_rad_s,roll_offset_deg,pitch_offset_deg,roll_rad,pitch_rad,rolldot_rad_s,pitchdot_rad_s,vel_roll_raw_rad_s,vel_pitch_raw_rad_s,roll_f_rad,pitch_f_rad,roll_f_deg,pitch_f_deg,rolldot_f_rad_s,pitchdot_f_rad_s,vel_roll_f_rad_s,vel_pitch_f_rad_s,tau_fb_roll_nm,tau_fb_pitch_nm,denom_roll,denom_pitch,tau_ff_roll_g_nm,tau_ff_pitch_g_nm,tau_ff_roll_f_nm,tau_ff_pitch_f_nm,tau_ff_roll_nm,tau_ff_pitch_nm,tau_roll_total_nm,tau_pitch_total_nm,tau_motor1_raw_nm,tau_motor1_sat_nm,tau_motor1_ramped_nm,tau_motor1_final_nm,tau_motor2_raw_nm,tau_motor2_sat_nm,tau_motor2_ramped_nm,tau_motor2_final_nm,ramp_scale
50,11.780867713999669,-0.4908381511288908,-3.1898044237715015,-0.000625204760581255,0.0020657763816416264,1.104659784520183,-0.1339851778516943,-0.02784669218584895,0.05801107219187543,-0.000625204760581255,-0.0020657763816416264,-0.2259010225534439,0.060895439237356186,-0.02784669218584895,0.05801107219187543,-1.595497935649074,3.323789601623196,-0.000625204760581255,-0.0020657763816416264,-0.2259010225534439,0.060895439237356186,0.42656918430540236,-0.881310407390574,165.70780172214307,5.601973027397262,0.002931082548093069,-0.15896990630137142,0.499880972968627,0.012387610653573975,0.50281205551672,-0.14658229564779746,-0.9293812398221224,-1.0278927030383715,-0.9293812398221224,-0.9293812398221224,-0.030868460754589856,-0.030868460754589856,-1.2602380129939021,-1.2602380129939021,-0.041857534861571004,-0.041857534861571004,0.03321399166664681
100,11.881131474000085,-0.5054395481096442,-3.215640468080721,-0.01017624419182539,0.013945478945970535,1.104659784520183,-0.1339851778516943,-0.028101534638553857,0.05846199623076245,-0.01017624419182539,-0.013945478945970535,0.03261393681168556,-0.049258653074502945,-0.028101534638553857,0.05846199623076245,-1.6100993326298274,3.349625645932415,-0.01017624419182539,-0.013945478945970535,0.03261393681168556,-0.049258653074502945,0.43897620474956267,-0.8512177190676555,165.7066272193906,5.601852043203434,0.002957920648893251,-0.16020764757598926,-0.28660099899240493,0.08156867128850427,-0.28364307834351166,-0.078638976287485,-0.15533312640605101,-0.9298566953551405,-0.15533312640605101,-0.15533312640605101,-0.010349868891060444,-0.010349868891060444,-0.9686899769566533,-0.9686899769566533,-0.06454395459328865,-0.06454395459328865,0.06663014599992796
150,11.980789337999795,-0.5348233954450093,-3.107346538129699,-0.008788992650806904,0.012414606288075447,1.104659784520183,-0.1339851778516943,-0.028614379521459343,0.056571910593193026,-0.008788992650806904,-0.012414606288075447,0.1126556545495987,-0.022898904979228973,-0.028614379521459343,0.056571910593193026,-1.6394831799651925,3.241331715981394,-0.008788992650806904,-0.012414606288075447,0.1126556545495987,-0.022898904979228973,0.4529604840541005,-0.8361318568909042,165.70423122757623,5.602352899399606,0.003011930794141754,-0.1550198678139993,-0.48908050691268024,0.07299376950188585,-0.4860685761185385,-0.08202609831211344,0.03310809206443799,-0.9181579552030177,0.03310809206443799,0.03310809206443799,0.003305754351231566,0.003305754351231566,-0.9098809321869081,-0.9098809321869081,-0.09084917502420155,-0.09084917502420155,0.09984732266654343
200,12.080805379999674,-0.6098078801960538,-3.015324253215764,-0.008978093974292278,0.010898763313889503,1.104659784520183,-0.1339851778516943,-0.029923105668276547,0.05496581873623655,-0.008978093974292278,-0.010898763313889503,-0.6223467588424683,-0.017355183139443398,-0.029923105668276547,0.05496581873623655,-1.714467664716237,3.1493094310674588,-0.008978093974292278,-0.010898763313889503,-0.6223467588424683,-0.017355183139443398,0.48399262503056006,-0.8252564826637742,165.69792058792981,5.602765578270361,0.0031497661856522995,-0.1506122154185649,0.4999999999845571,0.06437622110574927,0.5031497661702093,-0.08623599431281563,-0.9871423912007694,-0.9114924769765897,-0.9871423912007694,-0.9871423912007694,-0.13147392162852087,-0.13147392162852087,-1.158278074776782,-1.158278074776782,-0.15426686381282617,-0.15426686381282617,0.13318637999994584
250,12.181125193999833,-0.6710608032293166,-2.982923970227339,-0.0259004645049572,0.0060092369094491005,1.104659784520183,-0.1339851778516943,-0.030992170851677655,0.05440032711951062,-0.0259004645049572,-0.0060092369094491005,-1.575757384300232,0.05419532582163811,-0.030992170851677655,0.05440032711951062,-1.7757205877494997,3.116909148079033,-0.0259004645049572,-0.0060092369094491005,-1.575757384300232,0.05419532582163811,0.5197894968696751,-0.8176893556903421,165.69255625384187,5.602908053004813,0.003262368339829957,-0.14906045425872722,0.5,0.03588281934153785,0.50326236833983,-0.11317763491718937,-1.023051865209505,-0.9308669906075314,-1.023051865209505,-1.023051865209505,-0.1704676310753405,-0.1704676310753405,-1.1866299569099077,-1.1866299569099077,-0.19772408867661964,-0.19772408867661964,0.1666265776666478
300,12.280778965000081,-0.7404133701228625,-2.9785050512777524,-0.009728373028337955,0.03181499242782593,1.104659784520183,-0.1339851778516943,-0.03220260148867965,0.054323202434461565,-0.009728373028337955,-0.03181499242782593,-0.3450334072113037,0.14745086431503296,-0.03220260148867965,0.054323202434461565,-1.8450731546430459,3.1124902291294467,-0.009728373028337955,-0.03181499242782593,-0.3450334072113037,0.14745086431503296,0.511095361330642,-0.7709788155547752,165.6862553718294,5.6029273703867295,0.003389869131197677,-0.14884882244959155,0.49999898572582796,0.16871246902452136,0.5033888548570257,0.01986364657492981,-1.0144842161876677,-0.7511151689798454,-1.0144842161876677,-1.0144842161876677,-0.20274043208994,-0.20274043208994,-1.0047362230267622,-1.0047362230267622,-0.20079233638384952,-0.20079233638384952,0.1998458219998914
350,12.380788933000076,-0.8451462101953686,-2.8474845206371597,0.010787218809127808,0.008910870179533958,1.104659784520183,-0.1339851778516943,-0.03403053438290954,0.05203646278707311,0.010787218809127808,-0.008910870179533958,0.6461779475212097,0.0365704670548439,-0.03403053438290954,0.05203646278707311,-1.949805994715552,2.981469698488854,0.010787218809127808,-0.008910870179533958,0.6461779475212097,0.0365704670548439,0.5143385488071066,-0.769380018407226,165.6762827649052,5.603487687788762,0.0035824333594215527,-0.1425745419918641,-0.49999999999404693,0.052906276963778795,-0.4964175666346254,-0.0896682650280853,-0.017920982172481226,-0.8590482834353114,-0.017920982172481226,-0.017920982172481226,-0.004178841223689282,-0.004178841223689282,-0.8635285289784317,-0.8635285289784317,-0.2013588641513178,-0.2013588641513178,0.23318148433327224
400,12.481023341999844,-0.8613688166086481,-2.7516253769569694,0.029307857155799866,-0.003397767897695303,1.104659784520183,-0.1339851778516943,-0.03431367227807641,0.05036340511171147,0.029307857155799866,0.003397767897695303,-0.6383864879608154,0.021666979417204857,-0.03431367227807641,0.05036340511171147,-1.9660286011288313,2.8856105548086637,0.029307857155799866,0.003397767897695303,-0.6383864879608154,0.021666979417204857,0.46574021207336314,-0.7881756395570246,165.67468884035793,5.603882386530456,0.003612262711863093,-0.13798475796668833,0.49999999999187,-0.020355283931516397,0.503612262703733,-0.15834004189820472,-0.9693524747770962,-0.9465156814552294,-0.9693524747770962,-0.9693524747770962,-0.2583760353560471,-0.2583760353560471,-1.1888538001495035,-1.1888538001495035,-0.3168830115910453,-0.3168830115910453,0.2665449793331997
450,12.635524485999667,-0.7428442771371523,-2.700083915706407,0.003712620120495558,-0.020613156259059906,1.104659784520183,-0.1339851778516943,-0.03224502881988883,0.049463836911600084,0.003712620120495558,0.020613156259059906,0.6433731913566589,0.02812011167407036,-0.03224502881988883,0.049463836911600084,-1.8475040616573357,2.834069093558101,0.003712620120495558,0.020613156259059906,0.6433731913566589,0.02812011167407036,0.47464823900789355,-0.7803296492047266,165.686030139833,5.604089280604803,0.0033943383935189416,-0.13551716248166296,-0.49999999999334016,-0.11711777510276136,-0.4966056615998212,-0.25263493758442435,0.021957422591927678,-1.0329645867891508,0.021957422591927678,0.021957422591927678,0.006982488650753618,0.006982488650753618,-1.0274752311411688,-1.0274752311411688,-0.32673844620594034,-0.32673844620594034,0.31800128733326954
500,12.800365320999845,-0.6799322584658112,-2.693468664051838,0.02773609571158886,-0.007984003983438015,1.104659784520183,-0.1339851778516943,-0.03114700695499778,0.04934837898937986,0.02773609571158886,0.007984003983438015,-0.26232051849365234,-0.08830764889717102,-0.03114700695499778,0.04934837898937986,-1.7845920429859945,2.827453841903533,0.02773609571158886,0.007984003983438015,-0.26232051849365234,-0.08830764889717102,0.4515899534118733,-0.7666224640784584,165.69176371520757,5.60411556529875,0.003278677474353878,-0.13520046286334728,0.49997226591717453,-0.047500986100016414,0.5032509433915284,-0.18270144896336368,-0.9548408968034017,-0.9493239130418221,-0.9548408968034017,-0.9548408968034017,-0.35612289296152483,-0.35612289296152483,-1.1880341372426724,-1.1880341372426724,-0.4430959705520674,-0.4430959705520674,0.3729656889998599
